orbit: 2, acc: 0.9754464030265808, simple_acc: 0.9460673928260803
orbit: 3, acc: 0.8922748565673828, simple_acc: 0.6973782777786255
orbit: 5, acc: 0.8973214030265808, simple_acc: 0.7078651785850525
orbit: 8, acc: 0.9151785969734192, simple_acc: 0.8426966071128845
orbit: 10, acc: 0.8468879461288452, simple_acc: 0.6434456706047058
orbit: 11, acc: 0.9895833134651184, simple_acc: 0.898876428604126
orbit: 12, acc: 0.88111412525177, simple_acc: 0.6764044761657715
orbit: 13, acc: 0.8479230999946594, simple_acc: 0.7588015198707581
orbit: 14, acc: 0.9471726417541504, simple_acc: 0.9250936508178711
orbit: 15, acc: 0.8473408222198486, simple_acc: 0.8374531865119934
orbit: 16, acc: 0.930059552192688, simple_acc: 0.5280898809432983
orbit: 19, acc: 0.9037266969680786, simple_acc: 0.8801498413085938
orbit: 21, acc: 0.869953453540802, simple_acc: 0.7842696905136108
orbit: 22, acc: 0.8203933238983154, simple_acc: 0.6277153491973877
orbit: 23, acc: 0.8573046326637268, simple_acc: 0.5250936150550842
orbit: 25, acc: 0.8866135478019714, simple_acc: 0.856928825378418
orbit: 26, acc: 0.956845223903656, simple_acc: 0.9295880198478699
orbit: 27, acc: 0.889589786529541, simple_acc: 0.8164793848991394
orbit: 28, acc: 0.8010480999946594, simple_acc: 0.5760299563407898
orbit: 30, acc: 0.8717325925827026, simple_acc: 0.7490636706352234
orbit: 31, acc: 0.9032738208770752, simple_acc: 0.8179775476455688
orbit: 32, acc: 0.8058035969734192, simple_acc: 0.7086142301559448
orbit: 34, acc: 0.9131081700325012, simple_acc: 0.5775281190872192
orbit: 38, acc: 0.9702380895614624, simple_acc: 0.5782771706581116
orbit: 39, acc: 0.9104230999946594, simple_acc: 0.6434456706047058
orbit: 40, acc: 0.8563988208770752, simple_acc: 0.71685391664505
orbit: 41, acc: 0.9212927222251892, simple_acc: 0.8801498413085938
orbit: 43, acc: 0.8647450804710388, simple_acc: 0.6696628928184509
orbit: 44, acc: 0.8091033101081848, simple_acc: 0.6007490754127502
orbit: 45, acc: 0.8662331700325012, simple_acc: 0.7183520793914795
orbit: 46, acc: 0.9074469208717346, simple_acc: 0.6059924960136414
orbit: 50, acc: 0.9389880895614624, simple_acc: 0.5183520317077637
orbit: 53, acc: 0.9145962595939636, simple_acc: 0.6329588294029236
orbit: 54, acc: 0.912655234336853, simple_acc: 0.8501872420310974
orbit: 55, acc: 0.9464285969734192, simple_acc: 0.5026217103004456
orbit: 56, acc: 0.8840903043746948, simple_acc: 0.5325842499732971
orbit: 57, acc: 0.9620535969734192, simple_acc: 0.672659158706665
orbit: 58, acc: 0.889589786529541, simple_acc: 0.5940074920654297
orbit: 61, acc: 0.916375458240509, simple_acc: 0.8689138293266296
orbit: 62, acc: 0.9183165431022644, simple_acc: 0.6329588294029236
orbit: 63, acc: 0.8625129461288452, simple_acc: 0.800000011920929
orbit: 64, acc: 0.854328453540802, simple_acc: 0.7303370833396912
orbit: 65, acc: 0.840644359588623, simple_acc: 0.7775281071662903
orbit: 68, acc: 0.8826022148132324, simple_acc: 0.8382022380828857
orbit: 69, acc: 0.9799107313156128, simple_acc: 0.9632958769798279
orbit: 70, acc: 0.9543219208717346, simple_acc: 0.9378277063369751
orbit: 71, acc: 0.9680059552192688, simple_acc: 0.9625468254089355
mean acc: 0.8974680291845444
