orbit: 3, acc: 0.7702805399894714, simple_acc: 0.6921910643577576
orbit: 5, acc: 0.8369977474212646, simple_acc: 0.7088703513145447
orbit: 10, acc: 0.7831690907478333, simple_acc: 0.6376042366027832
orbit: 12, acc: 0.9135708808898926, simple_acc: 0.6724791526794434
orbit: 13, acc: 0.8900682330131531, simple_acc: 0.7558756470680237
orbit: 14, acc: 0.9514784216880798, simple_acc: 0.9241849780082703
orbit: 16, acc: 0.9021986126899719, simple_acc: 0.5284306406974792
orbit: 21, acc: 0.7937831878662109, simple_acc: 0.7862016558647156
orbit: 22, acc: 0.7005307078361511, simple_acc: 0.6231994032859802
orbit: 23, acc: 0.8013646602630615, simple_acc: 0.5269143581390381
orbit: 27, acc: 0.8127369284629822, simple_acc: 0.8188021183013916
orbit: 28, acc: 0.7217589020729065, simple_acc: 0.5754359364509583
orbit: 30, acc: 0.825625479221344, simple_acc: 0.7467778325080872
orbit: 34, acc: 0.872630774974823, simple_acc: 0.5769522190093994
orbit: 38, acc: 0.9643669724464417, simple_acc: 0.5754359364509583
orbit: 39, acc: 0.9029567837715149, simple_acc: 0.6406368613243103
orbit: 40, acc: 0.8984078764915466, simple_acc: 0.7134192585945129
orbit: 41, acc: 0.937831699848175, simple_acc: 0.8786959648132324
orbit: 43, acc: 0.7437452673912048, simple_acc: 0.6641395092010498
orbit: 44, acc: 0.778620183467865, simple_acc: 0.5943896770477295
orbit: 45, acc: 0.810462474822998, simple_acc: 0.71645188331604
orbit: 46, acc: 0.8544352054595947, simple_acc: 0.6019712090492249
orbit: 50, acc: 0.9294920563697815, simple_acc: 0.5140257477760315
orbit: 53, acc: 0.9279757142066956, simple_acc: 0.6292645931243896
orbit: 54, acc: 0.920394241809845, simple_acc: 0.8483699560165405
orbit: 55, acc: 0.9431387186050415, simple_acc: 0.5034116506576538
orbit: 56, acc: 0.8172858357429504, simple_acc: 0.5284306406974792
orbit: 57, acc: 0.7664897441864014, simple_acc: 0.6815769672393799
orbit: 58, acc: 0.7960576415061951, simple_acc: 0.5883244872093201
orbit: 61, acc: 0.9355572462081909, simple_acc: 0.8673237562179565
orbit: 62, acc: 0.9241849780082703, simple_acc: 0.6307808756828308
orbit: 63, acc: 0.8991660475730896, simple_acc: 0.7975739240646362
orbit: 64, acc: 0.8961334228515625, simple_acc: 0.7270659804344177
orbit: 65, acc: 0.8855193257331848, simple_acc: 0.7748293876647949
orbit: 68, acc: 0.9120545983314514, simple_acc: 0.8362395763397217
orbit: 69, acc: 0.9833207130432129, simple_acc: 0.9628506302833557
orbit: 70, acc: 0.9605761766433716, simple_acc: 0.9370735287666321
orbit: 71, acc: 0.9795299172401428, simple_acc: 0.9620925188064575
mean acc: 0.8669446581288388
