orbit: 3, acc: 0.7702805399894714, simple_acc: 0.6921910643577576
orbit: 5, acc: 0.8415466547012329, simple_acc: 0.7088703513145447
orbit: 8, acc: 0.8559514880180359, simple_acc: 0.8476118445396423
orbit: 10, acc: 0.7952994704246521, simple_acc: 0.6376042366027832
orbit: 11, acc: 0.9075056910514832, simple_acc: 0.8984078764915466
orbit: 12, acc: 0.9135708808898926, simple_acc: 0.6724791526794434
orbit: 13, acc: 0.8931008577346802, simple_acc: 0.7558756470680237
orbit: 14, acc: 0.9537528157234192, simple_acc: 0.9241849780082703
orbit: 15, acc: 0.8362395763397217, simple_acc: 0.8278999328613281
orbit: 16, acc: 0.905989408493042, simple_acc: 0.5284306406974792
orbit: 19, acc: 0.8703563213348389, simple_acc: 0.8802123069763184
orbit: 21, acc: 0.8006065487861633, simple_acc: 0.7862016558647156
orbit: 22, acc: 0.7028051614761353, simple_acc: 0.6231994032859802
orbit: 23, acc: 0.7998483777046204, simple_acc: 0.5269143581390381
orbit: 25, acc: 0.8605003952980042, simple_acc: 0.8491281270980835
orbit: 26, acc: 0.857467770576477, simple_acc: 0.9279757142066956
orbit: 28, acc: 0.7232751846313477, simple_acc: 0.5754359364509583
orbit: 30, acc: 0.8286581039428711, simple_acc: 0.7467778325080872
orbit: 32, acc: 0.7384381890296936, simple_acc: 0.7119029760360718
orbit: 34, acc: 0.872630774974823, simple_acc: 0.5769522190093994
orbit: 38, acc: 0.9628506302833557, simple_acc: 0.5754359364509583
orbit: 39, acc: 0.9029567837715149, simple_acc: 0.6406368613243103
orbit: 40, acc: 0.9014405012130737, simple_acc: 0.7134192585945129
orbit: 41, acc: 0.9340409636497498, simple_acc: 0.8786959648132324
orbit: 43, acc: 0.746019721031189, simple_acc: 0.6641395092010498
orbit: 44, acc: 0.7763457298278809, simple_acc: 0.5943896770477295
orbit: 45, acc: 0.8142532110214233, simple_acc: 0.71645188331604
orbit: 46, acc: 0.8514025807380676, simple_acc: 0.6019712090492249
orbit: 50, acc: 0.9302501678466797, simple_acc: 0.5140257477760315
orbit: 53, acc: 0.9279757142066956, simple_acc: 0.6292645931243896
orbit: 54, acc: 0.9219105243682861, simple_acc: 0.8483699560165405
orbit: 55, acc: 0.9446550607681274, simple_acc: 0.5034116506576538
orbit: 56, acc: 0.8180439472198486, simple_acc: 0.5284306406974792
orbit: 57, acc: 0.7710386514663696, simple_acc: 0.6815769672393799
orbit: 58, acc: 0.792266845703125, simple_acc: 0.5883244872093201
orbit: 61, acc: 0.9340409636497498, simple_acc: 0.8673237562179565
orbit: 62, acc: 0.9264594316482544, simple_acc: 0.6307808756828308
orbit: 63, acc: 0.8976497054100037, simple_acc: 0.7975739240646362
orbit: 64, acc: 0.8976497054100037, simple_acc: 0.7270659804344177
orbit: 65, acc: 0.8832448720932007, simple_acc: 0.7748293876647949
orbit: 68, acc: 0.9105383157730103, simple_acc: 0.8362395763397217
orbit: 69, acc: 0.981804370880127, simple_acc: 0.9628506302833557
orbit: 70, acc: 0.9590598940849304, simple_acc: 0.9370735287666321
orbit: 71, acc: 0.9780136346817017, simple_acc: 0.9620925188064575
mean acc: 0.8657212758606131
