orbit: 2, acc: 1.0, simple_acc: 0.8884119987487793
orbit: 3, acc: 0.9585121870040894, simple_acc: 0.6952789425849915
orbit: 4, acc: 1.0, simple_acc: 0.911301851272583
orbit: 5, acc: 0.9985693693161011, simple_acc: 0.5693848133087158
orbit: 8, acc: 0.9842632412910461, simple_acc: 0.7567954063415527
orbit: 10, acc: 0.9556509256362915, simple_acc: 0.5836910009384155
orbit: 12, acc: 0.9327610731124878, simple_acc: 0.6995708346366882
orbit: 13, acc: 0.9284692406654358, simple_acc: 0.7796852588653564
orbit: 14, acc: 0.9656652212142944, simple_acc: 0.9327610731124878
orbit: 15, acc: 0.9814019799232483, simple_acc: 0.5679542422294617
orbit: 16, acc: 0.9785407781600952, simple_acc: 0.5822603702545166
orbit: 19, acc: 0.9928469061851501, simple_acc: 0.6824034452438354
orbit: 21, acc: 0.9713876843452454, simple_acc: 0.646638035774231
orbit: 22, acc: 0.9084406495094299, simple_acc: 0.5851216316223145
orbit: 23, acc: 0.9399141669273376, simple_acc: 0.5321888327598572
orbit: 25, acc: 0.9942775368690491, simple_acc: 0.5979971289634705
orbit: 26, acc: 0.9971387982368469, simple_acc: 0.8011444807052612
orbit: 27, acc: 0.9785407781600952, simple_acc: 0.6566523313522339
orbit: 28, acc: 0.9470672607421875, simple_acc: 0.5278970003128052
orbit: 31, acc: 0.9856938719749451, simple_acc: 0.6995708346366882
orbit: 32, acc: 0.9842632412910461, simple_acc: 0.5708154439926147
orbit: 34, acc: 0.9799714088439941, simple_acc: 0.5007153153419495
orbit: 38, acc: 0.9856938719749451, simple_acc: 0.6022889614105225
orbit: 39, acc: 0.9499284625053406, simple_acc: 0.6623747944831848
orbit: 40, acc: 0.9313304424285889, simple_acc: 0.7482117414474487
orbit: 41, acc: 0.9556509256362915, simple_acc: 0.8969957232475281
orbit: 44, acc: 0.9341917037963867, simple_acc: 0.5221745371818542
orbit: 45, acc: 0.9842632412910461, simple_acc: 0.5507868528366089
orbit: 46, acc: 0.9814019799232483, simple_acc: 0.5121602416038513
orbit: 50, acc: 0.9713876843452454, simple_acc: 0.5650929808616638
orbit: 53, acc: 0.9585121870040894, simple_acc: 0.6480686664581299
orbit: 54, acc: 0.9456366300582886, simple_acc: 0.8583691120147705
orbit: 55, acc: 0.9971387982368469, simple_acc: 0.5622317790985107
orbit: 57, acc: 0.995708167552948, simple_acc: 0.6566523313522339
orbit: 61, acc: 0.9670958518981934, simple_acc: 0.8826895356178284
orbit: 62, acc: 0.9556509256362915, simple_acc: 0.6566523313522339
orbit: 63, acc: 0.9484978318214417, simple_acc: 0.8197425007820129
orbit: 64, acc: 0.9313304424285889, simple_acc: 0.7539342045783997
orbit: 65, acc: 0.9270386099815369, simple_acc: 0.8025751113891602
orbit: 68, acc: 0.9427753686904907, simple_acc: 0.8569384813308716
orbit: 69, acc: 0.9899857044219971, simple_acc: 0.9656652212142944
orbit: 71, acc: 0.9814019799232483, simple_acc: 0.9642346501350403
orbit: 72, acc: 0.9928469061851501, simple_acc: 0.9828326106071472
mean acc: 0.9672289310499679
