orbit: 2, acc: 0.9986979365348816, simple_acc: 0.8884119987487793
orbit: 3, acc: 0.9580548405647278, simple_acc: 0.6952789425849915
orbit: 4, acc: 0.9986979365348816, simple_acc: 0.911301851272583
orbit: 5, acc: 0.9973958134651184, simple_acc: 0.5693848133087158
orbit: 8, acc: 0.9825924038887024, simple_acc: 0.7567954063415527
orbit: 10, acc: 0.957233190536499, simple_acc: 0.5836910009384155
orbit: 12, acc: 0.9368802905082703, simple_acc: 0.6995708346366882
orbit: 13, acc: 0.9263243675231934, simple_acc: 0.7796852588653564
orbit: 14, acc: 0.9700520634651184, simple_acc: 0.9327610731124878
orbit: 15, acc: 0.984375, simple_acc: 0.5679542422294617
orbit: 16, acc: 0.9830729365348816, simple_acc: 0.5822603702545166
orbit: 19, acc: 0.9934895634651184, simple_acc: 0.6824034452438354
orbit: 21, acc: 0.9739583134651184, simple_acc: 0.646638035774231
orbit: 22, acc: 0.924200713634491, simple_acc: 0.5851216316223145
orbit: 23, acc: 0.9468165040016174, simple_acc: 0.5321888327598572
orbit: 25, acc: 0.9908854365348816, simple_acc: 0.5979971289634705
orbit: 26, acc: 0.9986979365348816, simple_acc: 0.8011444807052612
orbit: 27, acc: 0.977384090423584, simple_acc: 0.6566523313522339
orbit: 28, acc: 0.9495599269866943, simple_acc: 0.5278970003128052
orbit: 31, acc: 0.985196590423584, simple_acc: 0.6995708346366882
orbit: 32, acc: 0.9817708134651184, simple_acc: 0.5708154439926147
orbit: 34, acc: 0.9791666865348816, simple_acc: 0.5007153153419495
orbit: 38, acc: 0.9856770634651184, simple_acc: 0.6022889614105225
orbit: 39, acc: 0.9446927905082703, simple_acc: 0.6623747944831848
orbit: 40, acc: 0.9303698539733887, simple_acc: 0.7482117414474487
orbit: 41, acc: 0.9625807404518127, simple_acc: 0.8969957232475281
orbit: 44, acc: 0.9411277770996094, simple_acc: 0.5221745371818542
orbit: 45, acc: 0.9864986538887024, simple_acc: 0.5507868528366089
orbit: 46, acc: 0.984375, simple_acc: 0.5121602416038513
orbit: 50, acc: 0.9765625, simple_acc: 0.5650929808616638
orbit: 53, acc: 0.9585352540016174, simple_acc: 0.6480686664581299
orbit: 54, acc: 0.9485990405082703, simple_acc: 0.8583691120147705
orbit: 55, acc: 0.9986979365348816, simple_acc: 0.5622317790985107
orbit: 57, acc: 0.99609375, simple_acc: 0.6566523313522339
orbit: 61, acc: 0.9682695269584656, simple_acc: 0.8826895356178284
orbit: 62, acc: 0.9477774500846863, simple_acc: 0.6566523313522339
orbit: 63, acc: 0.9393451809883118, simple_acc: 0.8197425007820129
orbit: 64, acc: 0.9297501444816589, simple_acc: 0.7539342045783997
orbit: 65, acc: 0.9284480214118958, simple_acc: 0.8025751113891602
orbit: 68, acc: 0.9521641135215759, simple_acc: 0.8569384813308716
orbit: 69, acc: 0.9895833134651184, simple_acc: 0.9656652212142944
orbit: 71, acc: 0.9856770634651184, simple_acc: 0.9642346501350403
orbit: 72, acc: 0.9921875, simple_acc: 0.9828326106071472
mean acc: 0.9684073495310407
