orbit: 3, acc: 0.7139650217867319, simple_acc: 0.584967315196991
orbit: 5, acc: 0.7443435063172555, simple_acc: 0.5181100368499756
orbit: 10, acc: 0.7508777071072803, simple_acc: 0.5049019455909729
orbit: 11, acc: 0.7192533150642813, simple_acc: 0.5326797366142273
orbit: 12, acc: 0.7265797706215114, simple_acc: 0.5262799859046936
orbit: 13, acc: 0.7530951516086055, simple_acc: 0.5981754064559937
orbit: 14, acc: 0.7722809714786232, simple_acc: 0.6552287340164185
orbit: 16, acc: 0.770181062162595, simple_acc: 0.6044390201568604
orbit: 23, acc: 0.7758694621097014, simple_acc: 0.5934095978736877
orbit: 28, acc: 0.7226323846525746, simple_acc: 0.5577341914176941
orbit: 33, acc: 0.7514086124275682, simple_acc: 0.5511982440948486
orbit: 37, acc: 0.7757987418027523, simple_acc: 0.648556649684906
orbit: 38, acc: 0.7433746791107584, simple_acc: 0.6053921580314636
orbit: 39, acc: 0.7757578526271443, simple_acc: 0.725217878818512
orbit: 40, acc: 0.7373402923008264, simple_acc: 0.5409858226776123
orbit: 41, acc: 0.7878771427264625, simple_acc: 0.7388344407081604
orbit: 44, acc: 0.7522228189211242, simple_acc: 0.5177015066146851
orbit: 49, acc: 0.752420905383642, simple_acc: 0.554193913936615
orbit: 52, acc: 0.7826994821857769, simple_acc: 0.7004357576370239
orbit: 53, acc: 0.7164618705965299, simple_acc: 0.5653594732284546
orbit: 54, acc: 0.7978004016145006, simple_acc: 0.7354303002357483
orbit: 55, acc: 0.7037103857577716, simple_acc: 0.5938180685043335
orbit: 56, acc: 0.7316876499946038, simple_acc: 0.505855143070221
orbit: 57, acc: 0.720184897499728, simple_acc: 0.5194717049598694
orbit: 58, acc: 0.7584181386094779, simple_acc: 0.5802015066146851
orbit: 59, acc: 0.7317482128798474, simple_acc: 0.5089869499206543
orbit: 60, acc: 0.7486867143627697, simple_acc: 0.6139705777168274
orbit: 61, acc: 0.7801236609021805, simple_acc: 0.7250816822052002
orbit: 62, acc: 0.7468568781687439, simple_acc: 0.6104303002357483
orbit: 63, acc: 0.7626279325402698, simple_acc: 0.6830065250396729
orbit: 64, acc: 0.7644169544373778, simple_acc: 0.6655773520469666
orbit: 65, acc: 0.740782815638884, simple_acc: 0.5565087199211121
orbit: 66, acc: 0.7673983553372309, simple_acc: 0.6663943529129028
orbit: 67, acc: 0.7841999865519482, simple_acc: 0.7091503143310547
orbit: 68, acc: 0.7556334173982227, simple_acc: 0.6745642423629761
orbit: 70, acc: 0.7727815148940661, simple_acc: 0.7013888955116272
mean acc: 0.7525416296549825
