orbit: 3, acc: 0.7139707113251905, simple_acc: 0.584967315196991
orbit: 5, acc: 0.7445848939116189, simple_acc: 0.5181100368499756
orbit: 10, acc: 0.7507766485925831, simple_acc: 0.5049019455909729
orbit: 11, acc: 0.7189299868076708, simple_acc: 0.5326797366142273
orbit: 12, acc: 0.726438765656218, simple_acc: 0.5262799859046936
orbit: 13, acc: 0.7528430639206593, simple_acc: 0.5981754064559937
orbit: 14, acc: 0.7724226328596624, simple_acc: 0.6552287340164185
orbit: 16, acc: 0.7700111552314236, simple_acc: 0.6044390201568604
orbit: 23, acc: 0.774515046044767, simple_acc: 0.5934095978736877
orbit: 28, acc: 0.7229447388296644, simple_acc: 0.5577341914176941
orbit: 33, acc: 0.7513972200103611, simple_acc: 0.5511982440948486
orbit: 37, acc: 0.771359576836266, simple_acc: 0.648556649684906
orbit: 38, acc: 0.7444849271699004, simple_acc: 0.6053921580314636
orbit: 39, acc: 0.7756485286198155, simple_acc: 0.725217878818512
orbit: 40, acc: 0.7372408745684214, simple_acc: 0.5409858226776123
orbit: 41, acc: 0.7869360995815536, simple_acc: 0.7388344407081604
orbit: 44, acc: 0.7522558263043819, simple_acc: 0.5177015066146851
orbit: 49, acc: 0.7527050666482554, simple_acc: 0.554193913936615
orbit: 52, acc: 0.777988388943871, simple_acc: 0.7004357576370239
orbit: 53, acc: 0.715473994777406, simple_acc: 0.5653594732284546
orbit: 54, acc: 0.7978234620969049, simple_acc: 0.7354303002357483
orbit: 55, acc: 0.7039600616902492, simple_acc: 0.5938180685043335
orbit: 56, acc: 0.7314347893650186, simple_acc: 0.505855143070221
orbit: 57, acc: 0.7196262237584338, simple_acc: 0.5194717049598694
orbit: 58, acc: 0.759222680828457, simple_acc: 0.5802015066146851
orbit: 59, acc: 0.7316645285620216, simple_acc: 0.5089869499206543
orbit: 60, acc: 0.7520801626220418, simple_acc: 0.6139705777168274
orbit: 61, acc: 0.7812178668843174, simple_acc: 0.7250816822052002
orbit: 62, acc: 0.7473917739492462, simple_acc: 0.6104303002357483
orbit: 63, acc: 0.7650311957063856, simple_acc: 0.6830065250396729
orbit: 64, acc: 0.7642508143322476, simple_acc: 0.6655773520469666
orbit: 65, acc: 0.7434101581964697, simple_acc: 0.5565087199211121
orbit: 66, acc: 0.7657301318565841, simple_acc: 0.6663943529129028
orbit: 67, acc: 0.7814603505410863, simple_acc: 0.7091503143310547
orbit: 68, acc: 0.7595565394094287, simple_acc: 0.6745642423629761
orbit: 70, acc: 0.7693861524238849, simple_acc: 0.7013888955116272
mean acc: 0.7523937510795129
