orbit: 2, acc: 0.9999483617773877, simple_acc: 0.867241382598877
orbit: 3, acc: 0.9999824175824176, simple_acc: 0.7844827771186829
orbit: 4, acc: 0.9994222992489891, simple_acc: 0.9948275685310364
orbit: 5, acc: 1.0, simple_acc: 0.7568965554237366
orbit: 8, acc: 0.9996804601374021, simple_acc: 0.9810344576835632
orbit: 10, acc: 0.99997012205142, simple_acc: 0.7258620858192444
orbit: 11, acc: 0.9999796462518573, simple_acc: 0.8224138021469116
orbit: 12, acc: 0.9999838446501559, simple_acc: 0.7568965554237366
orbit: 13, acc: 0.9999750012499374, simple_acc: 0.6103448271751404
orbit: 14, acc: 1.0, simple_acc: 0.5896551609039307
orbit: 15, acc: 0.999840230068701, simple_acc: 0.9810344576835632
orbit: 16, acc: 0.9999600399600399, simple_acc: 0.6637930870056152
orbit: 18, acc: 0.9948186528497409, simple_acc: 0.998275876045227
orbit: 19, acc: 1.0, simple_acc: 0.865517258644104
orbit: 21, acc: 1.0, simple_acc: 0.9793103337287903
orbit: 22, acc: 0.9999828116674401, simple_acc: 0.7775862216949463
orbit: 23, acc: 0.9999734268707483, simple_acc: 0.6620689630508423
orbit: 25, acc: 1.0, simple_acc: 0.8637930750846863
orbit: 28, acc: 1.0, simple_acc: 0.7775862216949463
orbit: 30, acc: 0.9995659722222222, simple_acc: 0.9931034445762634
orbit: 33, acc: 0.9999842893277403, simple_acc: 0.7465517520904541
orbit: 34, acc: 0.9998296277366044, simple_acc: 0.9637930989265442
orbit: 37, acc: 0.9998529411764706, simple_acc: 0.5862069129943848
orbit: 38, acc: 0.9999833541406574, simple_acc: 0.767241358757019
orbit: 39, acc: 0.9999873049726422, simple_acc: 0.6258620619773865
orbit: 40, acc: 0.9999702380952381, simple_acc: 0.7241379022598267
orbit: 41, acc: 0.9999761051373955, simple_acc: 0.5344827771186829
orbit: 44, acc: 1.0, simple_acc: 0.7241379022598267
orbit: 45, acc: 0.9999747340761516, simple_acc: 0.8637930750846863
orbit: 46, acc: 0.999728666395333, simple_acc: 0.9775862097740173
orbit: 49, acc: 0.9999715002279982, simple_acc: 0.7034482955932617
orbit: 50, acc: 1.0, simple_acc: 0.9603448510169983
orbit: 52, acc: 0.9999639423076923, simple_acc: 0.5517241358757019
orbit: 53, acc: 1.0, simple_acc: 0.7655172348022461
orbit: 54, acc: 0.9999881081209642, simple_acc: 0.5051724314689636
orbit: 55, acc: 0.9999757581634385, simple_acc: 0.8568965792655945
orbit: 56, acc: 0.999867514573397, simple_acc: 0.7655172348022461
orbit: 57, acc: 0.9999799498746867, simple_acc: 0.818965494632721
orbit: 58, acc: 0.9999130069159501, simple_acc: 0.7120689749717712
orbit: 59, acc: 0.9999839217956139, simple_acc: 0.7551724314689636
orbit: 60, acc: 0.999987558939524, simple_acc: 0.6051723957061768
orbit: 61, acc: 0.9999761904761905, simple_acc: 0.517241358757019
orbit: 62, acc: 0.9999847570270106, simple_acc: 0.7344827651977539
orbit: 63, acc: 0.9999755198962044, simple_acc: 0.584482729434967
orbit: 64, acc: 0.9999869918699187, simple_acc: 0.6465517282485962
orbit: 65, acc: 0.9999700041994121, simple_acc: 0.7275862097740173
orbit: 66, acc: 0.999987854644384, simple_acc: 0.5724138021469116
orbit: 67, acc: 0.9999762185043818, simple_acc: 0.501724123954773
orbit: 68, acc: 0.9999819301056485, simple_acc: 0.5568965673446655
orbit: 69, acc: 0.9999492198905688, simple_acc: 0.6258620619773865
orbit: 70, acc: 0.9999880341266707, simple_acc: 0.5396551489830017
orbit: 71, acc: 0.9999879628292165, simple_acc: 0.5551724433898926
orbit: 72, acc: 0.9999751919522694, simple_acc: 0.6017241477966309
mean acc: 0.9998441827186382
