orbit: 2, acc: 1.0, simple_acc: 0.9089900255203247
orbit: 3, acc: 1.0, simple_acc: 0.8024417161941528
orbit: 4, acc: 1.0, simple_acc: 0.9977802634239197
orbit: 5, acc: 1.0, simple_acc: 0.8257491588592529
orbit: 10, acc: 1.0, simple_acc: 0.7713651657104492
orbit: 11, acc: 1.0, simple_acc: 0.8812430500984192
orbit: 13, acc: 1.0, simple_acc: 0.6725860238075256
orbit: 14, acc: 1.0, simple_acc: 0.5782464146614075
orbit: 16, acc: 1.0, simple_acc: 0.7258601784706116
orbit: 23, acc: 1.0, simple_acc: 0.7258601784706116
orbit: 34, acc: 1.0, simple_acc: 0.985571563243866
orbit: 37, acc: 1.0, simple_acc: 0.6570477485656738
orbit: 38, acc: 1.0, simple_acc: 0.8423973321914673
orbit: 39, acc: 1.0, simple_acc: 0.7069922089576721
orbit: 40, acc: 1.0, simple_acc: 0.7647058963775635
orbit: 41, acc: 1.0, simple_acc: 0.5160932540893555
orbit: 50, acc: 1.0, simple_acc: 0.9789122939109802
orbit: 52, acc: 1.0, simple_acc: 0.5604883432388306
orbit: 54, acc: 1.0, simple_acc: 0.5449500679969788
orbit: 61, acc: 1.0, simple_acc: 0.5493895411491394
orbit: 62, acc: 1.0, simple_acc: 0.8268590569496155
orbit: 63, acc: 1.0, simple_acc: 0.6548279523849487
orbit: 64, acc: 1.0, simple_acc: 0.7203107476234436
orbit: 65, acc: 1.0, simple_acc: 0.7591564655303955
orbit: 67, acc: 1.0, simple_acc: 0.5482797026634216
orbit: 68, acc: 1.0, simple_acc: 0.62153160572052
orbit: 69, acc: 1.0, simple_acc: 0.6093229651451111
orbit: 70, acc: 1.0, simple_acc: 0.5516093373298645
orbit: 71, acc: 1.0, simple_acc: 0.5283018946647644
orbit: 72, acc: 1.0, simple_acc: 0.5948945879936218
mean acc: 1.0
