orbit: 1, acc: 1.0, simple_acc: 0.9936708807945251
orbit: 2, acc: 1.0, simple_acc: 0.8974683284759521
orbit: 3, acc: 1.0, simple_acc: 0.8189873695373535
orbit: 5, acc: 1.0, simple_acc: 0.7860759496688843
orbit: 10, acc: 1.0, simple_acc: 0.7708860635757446
orbit: 11, acc: 1.0, simple_acc: 0.8696202635765076
orbit: 12, acc: 1.0, simple_acc: 0.7898734211921692
orbit: 13, acc: 1.0, simple_acc: 0.6645569801330566
orbit: 14, acc: 1.0, simple_acc: 0.5810126662254333
orbit: 16, acc: 1.0, simple_acc: 0.6848101019859314
orbit: 23, acc: 1.0, simple_acc: 0.7088607549667358
orbit: 34, acc: 1.0, simple_acc: 0.9797468185424805
orbit: 37, acc: 1.0, simple_acc: 0.6392405033111572
orbit: 38, acc: 1.0, simple_acc: 0.8329113721847534
orbit: 39, acc: 1.0, simple_acc: 0.6898733973503113
orbit: 40, acc: 1.0, simple_acc: 0.7594936490058899
orbit: 41, acc: 1.0, simple_acc: 0.5265823006629944
orbit: 49, acc: 1.0, simple_acc: 0.7430379986763
orbit: 52, acc: 1.0, simple_acc: 0.5670886039733887
orbit: 54, acc: 1.0, simple_acc: 0.5430379509925842
orbit: 56, acc: 0.9998666133119914, simple_acc: 0.8063291311264038
orbit: 58, acc: 1.0, simple_acc: 0.7594936490058899
orbit: 61, acc: 1.0, simple_acc: 0.554430365562439
orbit: 62, acc: 1.0, simple_acc: 0.8151898980140686
orbit: 63, acc: 1.0, simple_acc: 0.6443037986755371
orbit: 64, acc: 1.0, simple_acc: 0.6936708688735962
orbit: 65, acc: 1.0, simple_acc: 0.7506328821182251
orbit: 67, acc: 1.0, simple_acc: 0.550632894039154
orbit: 68, acc: 1.0, simple_acc: 0.6227847933769226
orbit: 69, acc: 0.9999533149705551, simple_acc: 0.5987342000007629
orbit: 70, acc: 1.0, simple_acc: 0.5556961894035339
orbit: 71, acc: 1.0, simple_acc: 0.5215190052986145
orbit: 72, acc: 1.0, simple_acc: 0.5898734331130981
mean acc: 0.9999945432812893
