orbit: 3, acc: 0.7467084639498432, simple_acc: 0.5150501728057861
orbit: 5, acc: 0.9966442953020134, simple_acc: 0.9966555237770081
orbit: 8, acc: 0.9980842911877394, simple_acc: 0.9698996543884277
orbit: 11, acc: 0.9031737493275954, simple_acc: 0.95652174949646
orbit: 12, acc: 0.2801556420233463, simple_acc: 0.8595317602157593
orbit: 13, acc: 0.24757582009490406, simple_acc: 0.8762542009353638
orbit: 16, acc: 0.9990215264187867, simple_acc: 0.9765886068344116
orbit: 23, acc: 0.7524845554660221, simple_acc: 0.5117056965827942
orbit: 33, acc: 0.9130325814536341, simple_acc: 0.953177273273468
orbit: 38, acc: 0.7068302068302067, simple_acc: 0.6321070194244385
orbit: 39, acc: 0.6658171933401291, simple_acc: 0.7290970087051392
orbit: 46, acc: 0.6827188940092166, simple_acc: 0.5852842926979065
orbit: 53, acc: 0.7215632183908046, simple_acc: 0.5819398164749146
orbit: 54, acc: 0.1638996138996139, simple_acc: 0.8662207126617432
orbit: 56, acc: 0.7495391705069124, simple_acc: 0.5852842926979065
orbit: 57, acc: 0.7829312492921056, simple_acc: 0.7290970087051392
orbit: 58, acc: 0.7810333963453057, simple_acc: 0.5384615659713745
orbit: 59, acc: 0.2525252525252525, simple_acc: 0.9632107019424438
orbit: 60, acc: 0.4145328719723183, simple_acc: 0.9665551781654358
orbit: 61, acc: 0.7653061224489797, simple_acc: 0.9832776188850403
orbit: 62, acc: 0.4944158075601375, simple_acc: 0.9732441306114197
orbit: 63, acc: 0.2679197994987469, simple_acc: 0.953177273273468
orbit: 64, acc: 0.25664160401002506, simple_acc: 0.953177273273468
orbit: 68, acc: 0.7228813559322035, simple_acc: 0.9866220951080322
orbit: 69, acc: 0.8959731543624161, simple_acc: 0.9966555237770081
mean acc: 0.6464563934459303
